B00, 0
B01, 0
B02, 0
B03, 0
B04, 0
B05, 0
B06, 0
B07, 0
B08, 0
B09, 2
S01, Trade, 154.533, 161, B16, S01, 1
S01, Trade, 162.250, 160, B29, S01, 1
S01, Trade, 164.517, 160, B16, S01, 1
S01, Trade, 170.883, 161, B18, S01, 1
S01, Trade, 174.483, 157, B21, S01, 1
S01, Trade, 182.250, 160, B21, S01, 1
S01, Trade, 185.867, 157, B23, S01, 1
S01, Trade, 192.267, 161, B19, S01, 1
S01, Trade, 193.717, 160, B16, S01, 1
S01, Trade, 196.100, 160, B25, S01, 1
S01, Trade, 206.433, 164, B29, S01, 1
S01, Trade, 208.417, 166, B29, S01, 1
S01, Trade, 215.367, 164, B14, S01, 1
S01, Trade, 223.650, 169, B18, S01, 1
S01, Trade, 225.900, 173, B28, S01, 1
S01, Trade, 231.350, 165, B29, S01, 1
S01, Trade, 234.383, 168, B23, S01, 1
S01, Trade, 236.767, 171, B19, S01, 1
S01, Trade, 245.433, 176, B24, S01, 1
S01, Trade, 248.783, 174, B19, S01, 1
S01, Trade, 252.283, 175, B18, S01, 1
S01, Trade, 261.767, 163, B11, S01, 1
S01, Trade, 266.767, 175, B16, S01, 1
S01, Trade, 270.967, 180, B21, S01, 1
S01, Trade, 273.550, 184, B18, S01, 1
S01, Trade, 277.250, 165, B16, S01, 1
S01, Trade, 285.717, 167, B29, S01, 1
S01, Trade, 286.867, 167, B23, S01, 1
S01, Trade, 294.933, 172, B19, S01, 1
S01, Trade, 299.117, 176, B19, S01, 1
S02, 50
S02, Trade, 3.917, 141, S02, B22, 1
S02, Trade, 9.717, 150, S02, B25, 1
S02, Trade, 11.617, 150, S02, B20, 1
S02, Trade, 24.117, 158, S02, B22, 1
S02, Trade, 28.583, 155, S02, B19, 1
S02, Trade, 31.133, 156, S02, B28, 1
S02, Trade, 37.617, 152, B19, S02, 1
S02, Trade, 45.267, 161, S02, B26, 1
S02, Trade, 47.667, 158, S02, B26, 1
S02, Trade, 59.817, 153, B19, S02, 1
S02, Trade, 61.117, 153, S02, B16, 1
S02, Trade, 70.567, 163, S02, B22, 1
S02, Trade, 76.167, 163, S02, B29, 1
S02, Trade, 79.533, 161, S02, B21, 1
S02, Trade, 88.933, 152, B19, S02, 1
S02, Trade, 95.700, 159, B18, S02, 1
S02, Trade, 99.017, 162, B16, S02, 1
S02, Trade, 103.200, 163, S02, B22, 1
S02, Trade, 109.717, 160, S02, B26, 1
S02, Trade, 114.967, 155, B21, S02, 1
S02, Trade, 122.867, 169, S02, B22, 1
S02, Trade, 132.733, 172, S02, B28, 1
S02, Trade, 139.667, 162, S02, B22, 1
S02, Trade, 145.617, 166, S02, B26, 1
S02, Trade, 149.033, 164, S02, B25, 1
S02, Trade, 156.100, 160, B19, S02, 1
S02, Trade, 163.900, 163, S02, B22, 1
S02, Trade, 166.683, 164, S02, B26, 1
S02, Trade, 172.867, 158, S02, B18, 1
S02, Trade, 179.433, 162, S02, B26, 1
S02, Trade, 184.000, 163, S02, B22, 1
S02, Trade, 195.983, 163, S02, B28, 1
S02, Trade, 197.833, 167, S02, B26, 1
S02, Trade, 207.100, 165, S02, B19, 1
S02, Trade, 212.867, 168, S02, B28, 1
S02, Trade, 214.167, 167, S02, B22, 1
S02, Trade, 216.567, 164, B21, S02, 1
S02, Trade, 226.983, 171, B19, S02, 1
S02, Trade, 232.850, 170, S02, B22, 1
S02, Trade, 237.617, 171, S02, B28, 1
S02, Trade, 238.383, 170, B19, S02, 1
S02, Trade, 247.600, 172, B29, S02, 1
S02, Trade, 251.133, 178, S02, B29, 1
S02, Trade, 258.750, 186, S02, B22, 1
S02, Trade, 268.267, 181, S02, B24, 1
S02, Trade, 278.200, 164, S02, B29, 1
S02, Trade, 281.400, 167, B18, S02, 1
S02, Trade, 285.817, 174, S02, B26, 1
S02, Trade, 291.883, 176, S02, B24, 1
S02, Trade, 296.950, 184, S02, B27, 1
S03, 60
S03, Trade, 1.117, 111, S03, B09, 1
S03, Trade, 7.650, 138, B11, S03, 1
S03, Trade, 14.450, 149, B16, S03, 1
S03, Trade, 16.317, 154, B19, S03, 1
S03, Trade, 25.783, 154, B23, S03, 1
S03, Trade, 31.083, 153, B18, S03, 1
S03, Trade, 33.800, 151, B18, S03, 1
S03, Trade, 38.117, 151, B14, S03, 1
S03, Trade, 41.967, 150, B23, S03, 1
S03, Trade, 50.633, 154, B21, S03, 1
S03, Trade, 51.950, 153, B23, S03, 1
S03, Trade, 57.450, 148, B26, S03, 1
S03, Trade, 62.117, 154, B29, S03, 1
S03, Trade, 66.183, 155, B16, S03, 1
S03, Trade, 72.000, 162, B29, S03, 1
S03, Trade, 79.667, 160, B23, S03, 1
S03, Trade, 83.533, 139, B09, S03, 1
S03, Trade, 89.800, 150, B23, S03, 1
S03, Trade, 92.383, 155, B14, S03, 1
S03, Trade, 97.033, 158, B23, S03, 1
S03, Trade, 104.967, 157, B23, S03, 1
S03, Trade, 107.850, 158, B29, S03, 1
S03, Trade, 111.833, 159, B29, S03, 1
S03, Trade, 116.550, 152, B18, S03, 1
S03, Trade, 124.900, 167, B16, S03, 1
S03, Trade, 130.433, 165, B25, S03, 1
S03, Trade, 132.233, 165, B16, S03, 1
S03, Trade, 138.683, 162, B18, S03, 1
S03, Trade, 145.233, 163, B18, S03, 1
S03, Trade, 150.367, 161, B14, S03, 1
S03, Trade, 153.050, 160, B18, S03, 1
S03, Trade, 162.167, 160, B14, S03, 1
S03, Trade, 162.900, 160, B18, S03, 1
S03, Trade, 167.850, 160, B23, S03, 1
S03, Trade, 172.050, 160, B14, S03, 1
S03, Trade, 181.283, 160, B16, S03, 1
S03, Trade, 183.750, 156, B29, S03, 1
S03, Trade, 188.467, 160, B16, S03, 1
S03, Trade, 193.233, 161, B29, S03, 1
S03, Trade, 197.500, 160, B18, S03, 1
S03, Trade, 201.817, 164, B19, S03, 1
S03, Trade, 209.050, 164, B21, S03, 1
S03, Trade, 211.500, 164, B23, S03, 1
S03, Trade, 216.867, 163, B23, S03, 1
S03, Trade, 224.500, 169, B14, S03, 1
S03, Trade, 228.600, 159, B11, S03, 1
S03, Trade, 231.700, 164, B14, S03, 1
S03, Trade, 238.400, 168, B14, S03, 1
S03, Trade, 246.683, 170, B23, S03, 1
S03, Trade, 251.800, 178, B24, S03, 1
S03, Trade, 252.350, 173, B23, S03, 1
S03, Trade, 260.367, 176, B16, S03, 1
S03, Trade, 265.300, 169, B21, S03, 1
S03, Trade, 270.300, 182, B29, S03, 1
S03, Trade, 274.983, 182, B16, S03, 1
S03, Trade, 280.067, 163, B27, S03, 1
S03, Trade, 283.517, 168, B19, S03, 1
S03, Trade, 287.383, 166, B21, S03, 1
S03, Trade, 296.000, 171, B29, S03, 1
S03, Trade, 297.383, 181, B25, S03, 1
S04, 42
S04, Trade, 5.233, 138, B19, S04, 1
S04, Trade, 13.050, 148, B18, S04, 1
S04, Trade, 20.167, 156, B29, S04, 1
S04, Trade, 26.033, 154, B21, S04, 1
S04, Trade, 27.283, 153, B21, S04, 1
S04, Trade, 33.033, 151, B19, S04, 1
S04, Trade, 37.967, 151, B23, S04, 1
S04, Trade, 43.933, 150, B18, S04, 1
S04, Trade, 48.750, 153, B18, S04, 1
S04, Trade, 55.600, 155, B25, S04, 1
S04, Trade, 59.967, 154, S04, B22, 1
S04, Trade, 66.300, 153, B23, S04, 1
S04, Trade, 73.133, 162, B23, S04, 1
S04, Trade, 79.317, 161, B19, S04, 1
S04, Trade, 91.233, 154, B21, S04, 1
S04, Trade, 106.483, 160, B19, S04, 1
S04, Trade, 115.700, 153, B29, S04, 1
S04, Trade, 120.800, 168, B28, S04, 1
S04, Trade, 125.967, 168, S04, B22, 1
S04, Trade, 129.000, 168, B21, S04, 1
S04, Trade, 136.500, 164, S04, B29, 1
S04, Trade, 138.050, 161, B21, S04, 1
S04, Trade, 149.417, 163, B21, S04, 1
S04, Trade, 165.017, 159, B23, S04, 1
S04, Trade, 168.433, 162, B19, S04, 1
S04, Trade, 172.017, 161, B29, S04, 1
S04, Trade, 182.767, 158, B23, S04, 1
S04, Trade, 189.833, 159, B14, S04, 1
S04, Trade, 196.617, 160, B14, S04, 1
S04, Trade, 203.183, 166, S04, B22, 1
S04, Trade, 211.217, 164, B19, S04, 1
S04, Trade, 219.000, 169, B16, S04, 1
S04, Trade, 227.717, 170, B16, S04, 1
S04, Trade, 233.967, 168, B16, S04, 1
S04, Trade, 240.283, 170, B17, S04, 1
S04, Trade, 246.850, 173, B17, S04, 1
S04, Trade, 259.350, 175, B21, S04, 1
S04, Trade, 267.317, 172, B14, S04, 1
S04, Trade, 272.183, 185, B17, S04, 1
S04, Trade, 274.800, 187, B25, S04, 1
S04, Trade, 284.317, 167, B18, S04, 1
S04, Trade, 289.117, 173, B13, S04, 1
S05, 25
S05, Trade, 6.817, 135, B18, S05, 1
S05, Trade, 16.633, 153, B16, S05, 1
S05, Trade, 39.167, 151, B18, S05, 1
S05, Trade, 45.817, 152, B23, S05, 1
S05, Trade, 52.967, 154, S05, B28, 1
S05, Trade, 66.450, 153, B14, S05, 1
S05, Trade, 73.667, 163, B19, S05, 1
S05, Trade, 82.150, 156, B21, S05, 1
S05, Trade, 90.767, 154, S05, B28, 1
S05, Trade, 112.633, 158, B14, S05, 1
S05, Trade, 133.517, 165, B19, S05, 1
S05, Trade, 154.917, 161, B29, S05, 1
S05, Trade, 171.550, 161, B19, S05, 1
S05, Trade, 182.283, 159, B14, S05, 1
S05, Trade, 204.333, 164, B14, S05, 1
S05, Trade, 208.717, 165, B16, S05, 1
S05, Trade, 228.800, 166, B23, S05, 1
S05, Trade, 247.900, 173, S05, B17, 1
S05, Trade, 260.583, 175, B29, S05, 1
S05, Trade, 264.617, 173, B27, S05, 1
S05, Trade, 271.317, 181, B18, S05, 1
S05, Trade, 274.117, 187, B29, S05, 1
S05, Trade, 279.283, 163, S05, B28, 1
S05, Trade, 288.867, 171, B16, S05, 1
S05, Trade, 298.600, 176, B21, S05, 1
S06, 41
S06, Trade, 6.267, 140, S06, B29, 1
S06, Trade, 8.533, 145, S06, B22, 1
S06, Trade, 15.350, 161, S06, B25, 1
S06, Trade, 25.383, 156, B16, S06, 1
S06, Trade, 35.900, 152, B16, S06, 1
S06, Trade, 38.900, 154, S06, B28, 1
S06, Trade, 48.117, 163, S06, B28, 1
S06, Trade, 49.900, 160, S06, B25, 1
S06, Trade, 60.050, 153, B14, S06, 1
S06, Trade, 64.917, 155, S06, B22, 1
S06, Trade, 77.317, 162, S06, B18, 1
S06, Trade, 82.917, 159, S06, B28, 1
S06, Trade, 84.867, 152, S06, B23, 1
S06, Trade, 90.083, 155, S06, B26, 1
S06, Trade, 94.400, 161, B16, S06, 1
S06, Trade, 104.367, 159, S06, B20, 1
S06, Trade, 114.833, 157, S06, B14, 1
S06, Trade, 128.617, 171, S06, B28, 1
S06, Trade, 133.933, 169, S06, B22, 1
S06, Trade, 142.750, 162, S06, B28, 1
S06, Trade, 152.533, 168, S06, B22, 1
S06, Trade, 156.183, 158, B14, S06, 1
S06, Trade, 163.217, 160, B19, S06, 1
S06, Trade, 169.483, 164, S06, B16, 1
S06, Trade, 177.467, 160, S06, B22, 1
S06, Trade, 180.200, 160, S06, B19, 1
S06, Trade, 190.133, 161, S06, B28, 1
S06, Trade, 193.650, 163, S06, B22, 1
S06, Trade, 200.700, 168, S06, B28, 1
S06, Trade, 204.650, 166, S06, B25, 1
S06, Trade, 214.800, 167, S06, B16, 1
S06, Trade, 224.617, 168, B23, S06, 1
S06, Trade, 231.517, 165, B16, S06, 1
S06, Trade, 241.000, 171, S06, B26, 1
S06, Trade, 252.117, 180, S06, B22, 1
S06, Trade, 254.617, 177, S06, B18, 1
S06, Trade, 262.650, 165, S06, B19, 1
S06, Trade, 270.200, 189, S06, B27, 1
S06, Trade, 279.833, 167, S06, B25, 1
S06, Trade, 287.283, 179, S06, B28, 1
S06, Trade, 295.350, 180, S06, B24, 1
S07, 44
S07, Trade, 1.783, 144, S07, B21, 1
S07, Trade, 6.800, 143, S07, B26, 1
S07, Trade, 10.317, 150, B28, S07, 1
S07, Trade, 25.300, 157, S07, B28, 1
S07, Trade, 42.700, 152, S07, B16, 1
S07, Trade, 46.900, 152, S07, B14, 1
S07, Trade, 48.833, 161, S07, B22, 1
S07, Trade, 54.450, 147, S07, B16, 1
S07, Trade, 61.183, 154, S07, B28, 1
S07, Trade, 63.550, 155, B18, S07, 1
S07, Trade, 66.717, 167, B28, S07, 1
S07, Trade, 78.950, 162, S07, B22, 1
S07, Trade, 88.083, 153, S07, B26, 1
S07, Trade, 95.317, 159, B29, S07, 1
S07, Trade, 99.383, 161, B18, S07, 1
S07, Trade, 104.633, 161, S07, B28, 1
S07, Trade, 108.583, 163, S07, B22, 1
S07, Trade, 115.300, 156, S07, B18, 1
S07, Trade, 121.883, 168, S07, B19, 1
S07, Trade, 129.633, 172, S07, B19, 1
S07, Trade, 136.817, 164, B16, S07, 1
S07, Trade, 145.383, 164, S07, B23, 1
S07, Trade, 150.100, 164, B23, S07, 1
S07, Trade, 157.833, 161, S07, B22, 1
S07, Trade, 167.900, 164, S07, B22, 1
S07, Trade, 172.950, 161, S07, B22, 1
S07, Trade, 175.800, 161, S07, B25, 1
S07, Trade, 181.567, 163, S07, B28, 1
S07, Trade, 190.783, 161, S07, B16, 1
S07, Trade, 192.767, 162, S07, B15, 1
S07, Trade, 208.517, 168, S07, B22, 1
S07, Trade, 216.800, 165, S07, B28, 1
S07, Trade, 219.600, 170, S07, B29, 1
S07, Trade, 231.983, 166, S07, B26, 1
S07, Trade, 233.733, 169, S07, B18, 1
S07, Trade, 241.217, 174, S07, B22, 1
S07, Trade, 248.733, 175, S07, B22, 1
S07, Trade, 255.700, 175, B21, S07, 1
S07, Trade, 258.467, 178, S07, B27, 1
S07, Trade, 263.500, 168, B24, S07, 1
S07, Trade, 279.717, 164, S07, B17, 1
S07, Trade, 286.167, 176, S07, B27, 1
S07, Trade, 292.500, 177, S07, B27, 1
S07, Trade, 295.233, 178, S07, B28, 1
S08, 12
S08, Trade, 9.933, 145, B16, S08, 1
S08, Trade, 36.150, 153, S08, B26, 1
S08, Trade, 71.267, 171, S08, B22, 1
S08, Trade, 81.617, 155, B14, S08, 1
S08, Trade, 107.333, 159, B18, S08, 1
S08, Trade, 133.750, 164, B23, S08, 1
S08, Trade, 162.000, 161, B16, S08, 1
S08, Trade, 176.800, 155, B29, S08, 1
S08, Trade, 220.533, 170, B19, S08, 1
S08, Trade, 243.250, 172, B29, S08, 1
S08, Trade, 285.767, 165, B19, S08, 1
S08, Trade, 294.150, 170, B26, S08, 1
S09, 9
S09, Trade, 242.050, 170, B18, S09, 1
S09, Trade, 250.350, 176, S09, B16, 1
S09, Trade, 254.067, 178, B17, S09, 1
S09, Trade, 263.750, 168, B23, S09, 1
S09, Trade, 275.850, 175, B19, S09, 1
S09, Trade, 281.450, 168, S09, B24, 1
S09, Trade, 287.183, 175, S09, B25, 1
S09, Trade, 289.917, 171, B16, S09, 1
S09, Trade, 298.350, 178, B29, S09, 1
S10, 57
S10, Trade, 3.483, 137, B11, S10, 1
S10, Trade, 10.383, 145, B21, S10, 1
S10, Trade, 15.783, 151, B29, S10, 1
S10, Trade, 16.000, 149, B23, S10, 1
S10, Trade, 25.483, 155, B29, S10, 1
S10, Trade, 30.933, 154, B29, S10, 1
S10, Trade, 41.250, 151, B29, S10, 1
S10, Trade, 42.917, 151, B21, S10, 1
S10, Trade, 49.700, 154, B16, S10, 1
S10, Trade, 53.800, 139, S10, B29, 1
S10, Trade, 62.133, 154, B19, S10, 1
S10, Trade, 67.300, 144, B16, S10, 1
S10, Trade, 71.567, 161, B19, S10, 1
S10, Trade, 80.133, 159, B29, S10, 1
S10, Trade, 83.200, 145, B11, S10, 1
S10, Trade, 88.067, 151, B16, S10, 1
S10, Trade, 97.050, 157, B21, S10, 1
S10, Trade, 99.667, 159, B23, S10, 1
S10, Trade, 103.617, 158, B21, S10, 1
S10, Trade, 109.733, 158, B21, S10, 1
S10, Trade, 114.450, 157, B23, S10, 1
S10, Trade, 119.567, 164, B21, S10, 1
S10, Trade, 121.083, 167, B16, S10, 1
S10, Trade, 129.883, 169, B29, S10, 1
S10, Trade, 133.917, 163, B29, S10, 1
S10, Trade, 138.967, 160, B19, S10, 1
S10, Trade, 143.400, 163, B21, S10, 1
S10, Trade, 151.300, 160, B29, S10, 1
S10, Trade, 156.200, 152, B11, S10, 1
S10, Trade, 160.517, 159, B21, S10, 1
S10, Trade, 167.050, 160, B21, S10, 1
S10, Trade, 175.683, 158, B23, S10, 1
S10, Trade, 176.467, 157, B14, S10, 1
S10, Trade, 185.233, 159, B19, S10, 1
S10, Trade, 190.033, 158, B18, S10, 1
S10, Trade, 195.550, 162, B19, S10, 1
S10, Trade, 199.833, 162, B29, S10, 1
S10, Trade, 203.450, 165, B16, S10, 1
S10, Trade, 209.383, 164, B18, S10, 1
S10, Trade, 213.367, 166, B19, S10, 1
S10, Trade, 220.700, 167, B21, S10, 1
S10, Trade, 226.083, 170, B18, S10, 1
S10, Trade, 228.233, 168, B20, S10, 1
S10, Trade, 234.683, 167, B14, S10, 1
S10, Trade, 236.867, 168, B21, S10, 1
S10, Trade, 246.233, 173, B21, S10, 1
S10, Trade, 252.267, 176, B21, S10, 1
S10, Trade, 253.467, 175, B23, S10, 1
S10, Trade, 259.000, 176, B18, S10, 1
S10, Trade, 264.867, 171, B18, S10, 1
S10, Trade, 272.067, 186, B19, S10, 1
S10, Trade, 275.083, 182, B21, S10, 1
S10, Trade, 281.783, 166, B14, S10, 1
S10, Trade, 290.150, 170, B14, S10, 1
S10, Trade, 291.900, 174, B17, S10, 1
S10, Trade, 295.300, 171, B18, S10, 1
S10, Trade, 298.200, 176, B15, S10, 1
S11, 13
S11, Trade, 241.767, 171, B24, S11, 1
S11, Trade, 242.567, 171, B16, S11, 1
S11, Trade, 250.817, 178, B27, S11, 1
S11, Trade, 256.417, 175, B16, S11, 1
S11, Trade, 259.833, 177, S11, B17, 1
S11, Trade, 262.183, 166, S11, B28, 1
S11, Trade, 269.533, 183, B17, S11, 1
S11, Trade, 274.583, 185, B23, S11, 1
S11, Trade, 280.517, 168, B23, S11, 1
S11, Trade, 282.417, 169, B21, S11, 1
S11, Trade, 290.983, 166, B11, S11, 1
S11, Trade, 294.033, 173, B19, S11, 1
S11, Trade, 298.533, 176, B14, S11, 1
S12, 48
S12, Trade, 4.067, 142, S12, B26, 1
S12, Trade, 14.633, 163, S12, B26, 1
S12, Trade, 16.483, 166, S12, B22, 1
S12, Trade, 24.283, 157, S12, B25, 1
S12, Trade, 27.483, 155, S12, B22, 1
S12, Trade, 35.833, 152, S12, B22, 1
S12, Trade, 39.650, 154, S12, B22, 1
S12, Trade, 45.233, 159, S12, B25, 1
S12, Trade, 54.117, 146, S12, B14, 1
S12, Trade, 57.417, 152, S12, B21, 1
S12, Trade, 76.133, 162, B23, S12, 1
S12, Trade, 82.117, 163, S12, B20, 1
S12, Trade, 86.783, 153, S12, B25, 1
S12, Trade, 88.567, 152, S12, B22, 1
S12, Trade, 97.950, 162, B19, S12, 1
S12, Trade, 102.650, 164, S12, B25, 1
S12, Trade, 111.367, 160, S12, B16, 1
S12, Trade, 114.383, 158, B19, S12, 1
S12, Trade, 120.817, 169, S12, B25, 1
S12, Trade, 122.583, 166, B23, S12, 1
S12, Trade, 131.833, 172, S12, B26, 1
S12, Trade, 139.967, 163, S12, B25, 1
S12, Trade, 144.867, 166, B16, S12, 1
S12, Trade, 150.350, 164, B16, S12, 1
S12, Trade, 158.917, 162, S12, B19, 1
S12, Trade, 163.100, 161, S12, B25, 1
S12, Trade, 175.517, 160, S12, B28, 1
S12, Trade, 179.833, 159, B18, S12, 1
S12, Trade, 189.117, 160, S12, B22, 1
S12, Trade, 196.400, 164, S12, B26, 1
S12, Trade, 199.283, 167, S12, B22, 1
S12, Trade, 205.267, 165, B21, S12, 1
S12, Trade, 211.667, 168, S12, B28, 1
S12, Trade, 221.067, 182, S12, B25, 1
S12, Trade, 223.050, 172, B29, S12, 1
S12, Trade, 231.017, 164, S12, B21, 1
S12, Trade, 236.183, 173, S12, B26, 1
S12, Trade, 237.900, 171, S12, B25, 1
S12, Trade, 247.533, 177, S12, B28, 1
S12, Trade, 255.450, 177, S12, B27, 1
S12, Trade, 256.250, 176, B19, S12, 1
S12, Trade, 260.967, 175, S12, B25, 1
S12, Trade, 263.717, 169, S12, B17, 1
S12, Trade, 268.417, 183, S12, B26, 1
S12, Trade, 273.050, 189, B27, S12, 1
S12, Trade, 281.100, 169, S12, B22, 1
S12, Trade, 286.050, 174, S12, B17, 1
S12, Trade, 288.533, 178, S12, B22, 1
S13, 0
S14, 35
S14, Trade, 13.483, 150, S14, B22, 1
S14, Trade, 24.933, 157, B19, S14, 1
S14, Trade, 34.750, 155, S14, B28, 1
S14, Trade, 44.467, 154, S14, B22, 1
S14, Trade, 55.333, 156, S14, B22, 1
S14, Trade, 61.733, 155, B25, S14, 1
S14, Trade, 62.733, 154, B29, S14, 1
S14, Trade, 74.850, 165, S14, B28, 1
S14, Trade, 80.083, 162, S14, B25, 1
S14, Trade, 85.417, 158, S14, B22, 1
S14, Trade, 90.217, 157, S14, B25, 1
S14, Trade, 96.600, 160, S14, B22, 1
S14, Trade, 99.100, 163, S14, B20, 1
S14, Trade, 112.500, 160, S14, B25, 1
S14, Trade, 115.483, 159, S14, B26, 1
S14, Trade, 126.517, 169, S14, B19, 1
S14, Trade, 140.583, 163, S14, B26, 1
S14, Trade, 144.267, 166, S14, B19, 1
S14, Trade, 150.767, 165, S14, B28, 1
S14, Trade, 160.267, 164, S14, B28, 1
S14, Trade, 166.517, 164, S14, B28, 1
S14, Trade, 208.950, 169, S14, B28, 1
S14, Trade, 217.433, 169, S14, B26, 1
S14, Trade, 220.000, 171, S14, B22, 1
S14, Trade, 234.300, 171, S14, B22, 1
S14, Trade, 243.550, 173, S14, B27, 1
S14, Trade, 252.317, 180, S14, B28, 1
S14, Trade, 258.183, 174, S14, B23, 1
S14, Trade, 263.817, 174, S14, B26, 1
S14, Trade, 265.767, 174, S14, B25, 1
S14, Trade, 272.317, 189, S14, B24, 1
S14, Trade, 282.700, 176, S14, B24, 1
S14, Trade, 285.350, 176, S14, B22, 1
S14, Trade, 295.150, 177, S14, B22, 1
S14, Trade, 299.383, 178, S14, B17, 1
S15, 0
S16, 1
S16, Trade, 273.567, 189, S16, B22, 1
S17, 13
S17, Trade, 19.150, 166, S17, B25, 1
S17, Trade, 68.050, 166, S17, B28, 1
S17, Trade, 101.183, 168, S17, B22, 1
S17, Trade, 105.500, 168, S17, B26, 1
S17, Trade, 116.233, 169, S17, B22, 1
S17, Trade, 124.983, 170, S17, B25, 1
S17, Trade, 143.117, 172, S17, B22, 1
S17, Trade, 221.950, 183, S17, B22, 1
S17, Trade, 243.917, 185, S17, B22, 1
S17, Trade, 258.683, 183, S17, B26, 1
S17, Trade, 269.700, 185, S17, B22, 1
S17, Trade, 272.900, 190, S17, B24, 1
S17, Trade, 286.800, 188, S17, B28, 1
S18, 5
S18, Trade, 16.067, 163, S18, B28, 1
S18, Trade, 65.983, 168, S18, B25, 1
S18, Trade, 116.417, 173, S18, B28, 1
S18, Trade, 270.000, 189, S18, B28, 1
S18, Trade, 299.517, 192, S18, B22, 1
S19, 2
S19, Trade, 18.300, 167, S19, B26, 1
S19, Trade, 129.750, 178, S19, B22, 1
S20, 0
S21, 0
S22, 0
S23, 0
S24, 0
S25, 0
S26, 0
S27, 0
S28, 0
S29, 0
